ts,container,mem_mb,mem_pct,cpu_pct
1776549978,mft-sftp-service,698.5,77.96,35.95
1776549978,mft-license-service,619.4,69.13,0.28
1776549978,mft-ftp-service,658.2,73.46,1.07
1776549978,mft-screening-service,677.3,75.59,5.51
1776549978,mft-forwarder-service,661.1,73.79,0.31
1776549978,mft-as2-service,646.0,2.69,0.68
1776549978,mft-onboarding-api,670.8,74.86,6.02
1776549978,mft-storage-manager,549.4,61.32,24.18
1776549978,mft-keystore-manager,700.8,78.21,0.89
1776549978,mft-ftp-web-service,642.2,71.67,0.48
1776549978,mft-analytics-service,690.1,77.02,0.57
1776549978,mft-config-service,638.2,71.23,1.48
1776549978,mft-gateway-service,617.4,68.91,0.20
1776549978,mft-grafana,59.8,0.25,4.77
1776549978,mft-encryption-service,660.9,73.76,0.61
1776549978,mft-promtail,56.8,0.24,2.49
1776549978,mft-postgres,251.5,1.05,5.86
1776549978,mft-rabbitmq,164.9,0.69,2.62
1776549978,mft-redis,10.7,0.04,0.37
1776549978,mft-prometheus,75.9,0.32,0.76
1776549978,mft-spire-server,33.3,0.14,0.44
1776549978,mft-loki,168.7,0.70,9.50
1776549978,mft-alertmanager,20.7,0.09,0.05
1776549978,mft-vault,125.4,0.52,8.24
1776549978,mft-redpanda,182.5,0.76,0.26
1776550040,mft-api-gateway,14.7,0.06,1.16
1776550040,mft-edi-converter,211.9,23.65,0.14
1776550040,mft-ui-service,9.2,0.04,0.00
1776550040,mft-dmz-proxy-internal,249.5,1.04,0.16
1776550040,mft-ftp-web-ui,8.4,0.04,0.00
1776550040,mft-partner-portal,9.0,0.04,0.00
1776550040,mft-spire-agent,34.8,0.15,0.41
1776550040,mft-notification-service,495.0,55.25,0.39
1776550040,mft-platform-sentinel,674.6,75.29,0.40
1776550040,mft-ai-engine,637.8,71.19,8.78
1776550040,mft-sftp-service,699.6,78.08,0.61
1776550040,mft-license-service,619.4,69.13,0.44
1776550040,mft-ftp-service,658.4,73.48,5.64
1776550040,mft-screening-service,677.3,75.59,1.52
1776550040,mft-forwarder-service,661.2,73.79,3.02
1776550040,mft-as2-service,646.2,2.69,5.55
1776550040,mft-onboarding-api,670.8,74.87,0.80
1776550040,mft-storage-manager,549.9,61.37,0.38
1776550040,mft-keystore-manager,700.9,78.23,0.26
1776550040,mft-ftp-web-service,642.4,71.70,5.45
1776550040,mft-analytics-service,690.1,77.02,0.26
1776550040,mft-config-service,638.3,71.24,2.53
1776550040,mft-gateway-service,617.5,68.91,0.27
1776550040,mft-grafana,59.8,0.25,0.69
1776550040,mft-encryption-service,661.0,73.77,0.30
1776550040,mft-promtail,56.9,0.24,0.26
1776550040,mft-postgres,255.0,1.06,1.47
1776550040,mft-rabbitmq,163.0,0.68,1.61
1776550040,mft-redis,10.7,0.04,0.34
1776550040,mft-prometheus,75.9,0.32,0.21
1776550040,mft-spire-server,33.3,0.14,0.27
1776550040,mft-loki,171.1,0.71,0.56
1776550040,mft-alertmanager,20.7,0.09,0.06
1776550040,mft-vault,126.1,0.53,0.27
1776550040,mft-redpanda,182.5,0.76,0.19
1776550103,mft-api-gateway,14.7,0.06,3.24
1776550103,mft-edi-converter,211.9,23.65,0.17
1776550103,mft-ui-service,9.2,0.04,0.00
1776550103,mft-dmz-proxy-internal,249.8,1.04,0.14
1776550103,mft-ftp-web-ui,8.4,0.04,0.00
1776550103,mft-partner-portal,9.0,0.04,0.00
1776550103,mft-spire-agent,34.8,0.15,0.81
1776550103,mft-notification-service,495.9,55.35,9.40
1776550103,mft-platform-sentinel,674.6,75.29,0.57
1776550103,mft-ai-engine,637.9,71.19,5.26
1776550103,mft-sftp-service,706.4,78.84,53.80
1776550103,mft-license-service,619.6,69.15,0.38
1776550103,mft-ftp-service,659.0,73.55,5.64
1776550103,mft-screening-service,677.3,75.59,4.17
1776550103,mft-forwarder-service,662.9,73.98,4.23
1776550103,mft-as2-service,646.5,2.69,0.81
1776550103,mft-onboarding-api,673.0,75.12,8.93
1776550103,mft-storage-manager,561.6,62.68,37.38
1776550103,mft-keystore-manager,702.7,78.42,9.02
1776550103,mft-ftp-web-service,642.8,71.74,1.12
1776550103,mft-analytics-service,690.1,77.02,1.28
1776550103,mft-config-service,638.4,71.24,5.67
1776550103,mft-gateway-service,622.1,69.43,0.58
1776550103,mft-grafana,59.8,0.25,0.35
1776550103,mft-encryption-service,661.1,73.78,0.53
1776550103,mft-promtail,56.9,0.24,1.39
1776550103,mft-postgres,255.7,1.07,10.33
1776550103,mft-rabbitmq,163.1,0.68,2.42
1776550103,mft-redis,10.7,0.04,0.51
1776550103,mft-prometheus,75.9,0.32,0.35
1776550103,mft-spire-server,33.3,0.14,0.16
1776550103,mft-loki,174.3,0.73,0.69
1776550103,mft-alertmanager,20.7,0.09,0.14
1776550103,mft-vault,128.8,0.54,0.89
1776550103,mft-redpanda,182.5,0.76,0.19
1776550165,mft-api-gateway,14.7,0.06,0.69
1776550165,mft-edi-converter,212.0,23.66,3.62
1776550165,mft-ui-service,9.2,0.04,0.00
1776550165,mft-dmz-proxy-internal,250.0,1.04,0.18
1776550165,mft-ftp-web-ui,8.4,0.04,0.00
1776550165,mft-partner-portal,9.0,0.04,0.00
1776550165,mft-spire-agent,34.9,0.15,0.02
1776550165,mft-notification-service,497.1,55.48,4.12
1776550165,mft-platform-sentinel,674.7,75.30,5.66
