ts,service,heap_used_mb,metaspace_used_mb,hikari_active,hikari_idle,hikari_pending
1776545304,notification-service,,,,,
1776545366,onboarding-api,,,,,
1776545366,config-service,,,,,
1776545366,storage-manager,,,,,
1776545366,sftp-service,,,,,
1776545366,gateway-service,,,,,
1776545366,notification-service,,,,,
1776545428,onboarding-api,,,,,
1776545428,config-service,,,,,
1776545428,storage-manager,,,,,
1776545428,sftp-service,,,,,
1776545428,gateway-service,,,,,
1776545428,notification-service,,,,,
1776545490,onboarding-api,,,,,
1776545490,config-service,,,,,
1776545490,storage-manager,,,,,
1776545490,sftp-service,,,,,
1776545490,gateway-service,,,,,
1776545490,notification-service,,,,,
1776545551,onboarding-api,,,,,
1776545551,config-service,,,,,
1776545551,storage-manager,,,,,
1776545551,sftp-service,,,,,
1776545551,gateway-service,,,,,
1776545551,notification-service,,,,,
1776545613,onboarding-api,,,,,
1776545613,config-service,,,,,
1776545613,storage-manager,,,,,
1776545613,sftp-service,,,,,
1776545613,gateway-service,,,,,
1776545613,notification-service,,,,,
1776545675,onboarding-api,,,,,
1776545675,config-service,,,,,
1776545675,storage-manager,,,,,
1776545675,sftp-service,,,,,
1776545675,gateway-service,,,,,
1776545675,notification-service,,,,,
1776545736,onboarding-api,,,,,
1776545736,config-service,,,,,
1776545736,storage-manager,,,,,
1776545736,sftp-service,,,,,
1776545736,gateway-service,,,,,
1776545736,notification-service,,,,,
1776545798,onboarding-api,,,,,
1776545798,config-service,,,,,
1776545798,storage-manager,,,,,
1776545798,sftp-service,,,,,
1776545798,gateway-service,,,,,
1776545798,notification-service,,,,,
1776545859,onboarding-api,,,,,
1776545859,config-service,,,,,
1776545859,storage-manager,,,,,
1776545859,sftp-service,,,,,
1776545859,gateway-service,,,,,
1776545859,notification-service,,,,,
1776545921,onboarding-api,,,,,
1776545921,config-service,,,,,
1776545921,storage-manager,,,,,
1776545921,sftp-service,,,,,
1776545921,gateway-service,,,,,
1776545921,notification-service,,,,,
1776545983,onboarding-api,,,,,
1776545983,config-service,,,,,
1776545983,storage-manager,,,,,
1776545983,sftp-service,,,,,
1776545983,gateway-service,,,,,
1776545983,notification-service,,,,,
1776546046,onboarding-api,,,,,
1776546046,config-service,,,,,
1776546046,storage-manager,,,,,
1776546046,sftp-service,,,,,
1776546046,gateway-service,,,,,
1776546046,notification-service,,,,,
1776546107,onboarding-api,,,,,
1776546107,config-service,,,,,
1776546107,storage-manager,,,,,
1776546107,sftp-service,,,,,
1776546107,gateway-service,,,,,
1776546107,notification-service,,,,,
1776546169,onboarding-api,,,,,
1776546169,config-service,,,,,
1776546169,storage-manager,,,,,
1776546169,sftp-service,,,,,
1776546169,gateway-service,,,,,
1776546169,notification-service,,,,,
1776546231,onboarding-api,,,,,
1776546231,config-service,,,,,
1776546231,storage-manager,,,,,
1776546231,sftp-service,,,,,
1776546231,gateway-service,,,,,
1776546231,notification-service,,,,,
